Model,Val_RMSLE,Delta
Baseline LGBM (Day 3),0.40562,0.0
LightGBM Advanced,0.37850314035407623,-0.027116859645923752
XGBoost Advanced,0.3686887080734265,-0.03693129192657346
Ensemble,0.37061389546891854,-0.03500610453108144
